146;Horse-slayer;None;Combat;+500;;Khand
147;Ringil;Good;Combat;+2000;;
148;Sickle of the Heave;None;Combat;+1000;;Dog Lord
149;Sting;Good;Combat;+500;;
150;Stinging Tongue;Evil;Combat;+500;;DrLd
151;Troll-Cleaver;Good;Combat;+2000;;
152;Turantir;Good;Combat;+500;;
153;Water-skimmer;None;Combat;+750;;DrLd
154;Ring of Bleeding;Evil;Mage;+30;;Dragon Lord
155;Taurin;None;Combat;+2000;;Dark Lts.
156;Maranya;None;Mage;+30;;Dark Lts.
157;Pectoral;None;Emissary;+30;;Witch-King
158;Thunder's Edge;Evil;Combat;+1250;;Dog Lord
159;Skull Helm;Evil;Command;+20;;Dog Lord
160;Collar of Command;None;Command;+30;;Dog Lord
161;Erivagil;None;Combat;+1500;;
162;Glosvagil;None;Combat;+1500;;White Wizard 
163;Mirror of Galadriel;Good;Mage;+40;;Sinda
164;Tintelpe;Good;Combat;+1750;;Sinda
165;Cuiviegurth;Evil;Combat;+750;;
166;Calris;Evil;Combat;+750;;
167;Aedring;Good;Combat;+1000;;
168;Ancaruin;Good;Combat;+2250;;
169;Gurthang;Evil;Combat;+2250;;
170;Anguirel;None;Combat;+2250;;
171;Aracu;Good;Combat;+1500;;
172;Axe of Braogha;None;Combat;+750;;
173;Daecollo;None;Stealth;+20;;Daeron
174;Belthronding;Good;Combat;+2250;;
175;Ring of Curufin;None;Agent;+25;;
176;Spear of Blador;None;Combat;+1250;;
177;Calninque;Good;Combat;+1500;;
178;Cubeleg;None;Combat;+750;;
179;Durcarak;Evil;Combat;+1250;;
180;Fuinrako;Evil;Combat;+2000;;
181;Herugrim;Good;Combat;+1000;;Rohan
182;Morgurth;None;Combat;+1000;;
183;Silmaruth;None;Combat;+2000;;
184;Stone Mace;Good;Combat;+500;;
185;Headband of Sla;None;Mage;+10;;
186;Sceptre of Hent;Good;Combat;+750;;
187;The Black Book;None;Mage;+10;;
188;E Mere Vardo;Good;Mage;+10;;
189;The Blue Ring;Evil;Mage;+10;;
190;Staff of the Wander;None;Mage;+15;;
191;Aercrist;None;Combat;+750;;S.Gondor
192;Maikarama;Good;Combat;+750;;
193;Raukambar;Good;Combat;+750;;
194;Darlachiel;Good;Combat;+750;;
195;Shards of Narsil;Good;Combat;+750;;Rangers
196;Mighty Blade;None;Combat;+750;;N.Gondor
197;Forest Blade;Good;Combat;+750;;N.Gondor
198;Flail of Horseslayi;Evil;Combat;+500;;Long Rider
199;Guthwine;Good;Combat;+750;;Rohan
200;Mace of the Huntsma;None;Combat;+500;;RhEas
201;Runya;Good;Combat;+500;;Noldo
202;Sword of Cleaving;None;Combat;+750;;Corsairs
203;Spear of Following;None;Combat;+500;;Long Rider
204;Steward's Blade;None;Combat;+750;;N.Gondor
205;Sulhelka;None;Combat;+1000;;
206;Foam-Light Armor;None;Command;+15;;S.Gondor
207;Gulthalion;None;Command;+30;;
208;Horse-Lord's Shield;None;Command;+15;;Rohan
209;Rat Gauntlets;None;Agent;+10;;Corsairs
210;Boots of Iron;None;Command;+10;;Dwarves
211;Cloak of Protection;None;Agent;+10;;Dwarves
212;Cloak of Hiding;None;Stealth;+10;;Dwarves
213;Cloak of Valacirca;None;Stealth;+20;;Rangers
